Date/Time of Update: 2016-10-27 10:01:16 AM,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#Points
,5576,McDavid,Connor,97,C,"6'1""",195,1997-01-13,19,"Richmond Hill, ON",Canada,N,24,EDM,Edmonton,Oilers,7,11
,4692,Marchand,Brad,63,LW,"5'9""",183,1988-05-11,28,"Hammonds Plains, NS",Canada,N,11,BOS,Boston,Bruins,7,10
,9627,Matthews,Auston,34,C,"6'2""",210,1997-12-09,18,"Scottsdale, AZ",USA,Y,12,TOR,Toronto,Maple Leafs,6,10
,4620,Anisimov,Artem,15,C,"6'4""",198,1988-05-24,28,Yaroslavl,Russia,N,20,CHI,Chicago,Blackhawks,7,9
,15,Burns,Brent,88,D,"6'5""",230,1985-03-09,31,"Barrie, ON",Canada,N,26,SJS,San Jose,Sharks,7,9
,5418,Nylander,William,29,C,"6'0""",190,,,"Calgary, AB",Canada,Y,12,TOR,Toronto,Maple Leafs,6,9
,4136,Pavelski,Joe,8,C,"5'11""",190,1984-07-11,32,"Plover, WI",USA,N,26,SJS,San Jose,Sharks,7,9
,4457,Stamkos,Steven,91,C,"6'0""",190,,,"Markham, ON",Canada,N,1,TBL,Tampa Bay,Lightning,6,9
,3846,Weber,Shea,6,D,"6'4""",233,1985-08-14,31,"Sicamous, BC",Canada,N,14,MTL,Montreal,Canadiens,7,9
,3623,Getzlaf,Ryan,15,C,"6'4""",221,1985-05-10,31,"Regina, SK",Canada,N,29,ANA,Anaheim,Ducks,7,8
,4394,Giroux,Claude,28,RW,"5'11""",172,1988-01-12,28,"Hearst, ON",Canada,N,6,PHI,Philadelphia,Flyers,7,8
,4265,Kane,Patrick,88,RW,"5'11""",181,1988-11-19,27,"Buffalo, NY",USA,N,20,CHI,Chicago,Blackhawks,7,8
,5473,Marchessault,Jonathan,81,C,"5'8""",184,1990-12-27,25,"Cap-Rouge, QC",Canada,N,4,FLO,Florida,Panthers,6,8
,5026,Nyquist,Gustav,14,C,"5'11""",185,1989-09-01,27,Halmstad,Sweden,N,16,DET,Detroit,Red Wings,7,8
,5167,Panik,Richard,14,RW,"6'1""",208,,,Martin,Slovakia,N,20,CHI,Chicago,Blackhawks,7,8
,5437,Pastrnak,David,88,RW,"6'0""",167,1996-05-25,20,Havirov,Czech Republic,N,11,BOS,Boston,Bruins,7,8
,5135,Tarasenko,Vladimir,91,RW,"6'0""",219,1991-12-13,24,Yaroslavl,Russia,N,17,STL,St. Louis,Blues,7,8
,3632,Vanek,Thomas,62,LW,"6'0""",217,1984-01-19,32,Vienna,Austria,N,16,DET,Detroit,Red Wings,7,8
,4497,Voracek,Jakub,93,RW,"6'2""",214,1989-08-15,27,Kladno,Czechoslovakia,N,6,PHI,Philadelphia,Flyers,7,8
,4800,Fowler,Cam,4,D,"6'1""",207,1991-12-05,24,"Windsor, ON",Canada,N,29,ANA,Anaheim,Ducks,8,7
,5149,Gallagher,Brendan,11,RW,"5'9""",178,1992-05-06,24,"Edmonton, AB",Canada,N,14,MTL,Montreal,Canadiens,7,7
,925,Green,Mike,25,D,"6'1""",207,1985-10-12,31,"Calgary, AB",Canada,N,16,DET,Detroit,Red Wings,7,7
,4660,Karlsson,Erik,65,D,"6'0""",180,1990-05-31,26,Landsbro,Sweden,N,13,OTT,Ottawa,Senators,6,7
,5104,Kreider,Chris,20,LW,"6'3""",226,1991-04-30,25,"Boxford, MA",USA,N,9,NYR,New York,Rangers,5,7
,5300,Kucherov,Nikita,86,RW,"5'11""",171,1993-06-17,23,Moscow,Russia,N,1,TBL,Tampa Bay,Lightning,6,7
,5458,Rask,Victor,49,C,"6'2""",200,1993-03-01,23,Leksand,Sweden,N,3,CAR,Carolina,Hurricanes,6,7
,5003,Scheifele,Mark,55,C,"6'2""",195,1993-03-15,23,"Kitchener, ON",Canada,N,47,WPJ,Winnipeg,Jets,6,7
,4019,Stastny,Paul,26,C,"6'0""",205,1985-12-27,30,"Quebec City, QC",Canada,N,17,STL,St. Louis,Blues,7,7
,3713,Steen,Alexander,20,LW,"5'11""",212,1984-03-01,32,"Winnipeg, MB",Canada,N,17,STL,St. Louis,Blues,7,7
,3714,Suter,Ryan,20,D,"6'1""",200,1985-01-21,31,"Madison, WI",USA,N,25,MIN,Minnesota,Wild,7,7
,5000,Zibanejad,Mika,93,C,"6'1""",200,1993-04-18,23,Stockholm,Sweden,N,9,NYR,New York,Rangers,7,7
,4185,Brouwer,Troy,36,RW,"6'3""",213,1985-08-17,31,"Vancouver, BC",Canada,N,23,CGY,Calgary,Flames,8,6
,257,Cullen,Matt,7,C,"6'1""",200,1976-11-02,39,"Virgina, MN",USA,N,10,PIT,Pittsburgh,Penguins,7,6
,5417,Draisaitl,Leon,29,C,"6'1""",210,1995-10-27,21,Cologne,Germany,N,24,EDM,Edmonton,Oilers,7,6
,5895,Dzingel,Ryan,18,LW,"6'0""",190,1992-03-09,24,"Wheaton, IL",USA,N,13,OTT,Ottawa,Senators,6,6
,4505,Eberle,Jordan,14,RW,"5'11""",184,1990-05-15,26,"Regina, SK",Canada,N,24,EDM,Edmonton,Oilers,7,6
,4846,Hall,Taylor,9,LW,"6'1""",195,1991-11-14,24,"Calgary, AB",Canada,N,7,NJD,New Jersey,Devils,6,6
,4404,Helm,Darren,43,C,"6'0""",192,1987-01-21,29,"Winnipeg, MB",Canada,N,16,DET,Detroit,Red Wings,7,6
,3715,Keith,Duncan,2,D,"6'1""",200,1983-07-16,33,"Winnipeg, MB",Canada,N,20,CHI,Chicago,Blackhawks,7,6
,5165,Killorn,Alex,17,C,"6'2""",205,1989-09-14,27,"Halifax, NS",Canada,N,1,TBL,Tampa Bay,Lightning,6,6
,5619,Konecny,Travis,11,C,"5'10""",175,1997-03-11,19,"London, ON",Canada,N,6,PHI,Philadelphia,Flyers,7,6
,9628,Laine,Patrik,29,RW,"6'4""",206,1998-12-04,17,Tampere,Finland,Y,47,WPJ,Winnipeg,Jets,6,6
,3652,Malkin,Evgeni,71,C,"6'3""",195,1986-07-31,30,Magnitogorsk,Russia,N,10,PIT,Pittsburgh,Penguins,7,6
,4852,McDonagh,Ryan,27,D,"6'1""",213,1989-06-13,27,"St. Paul, MN",USA,N,9,NYR,New York,Rangers,7,6
,5161,Miller,J.T.,10,C,"6'1""",205,1993-03-14,23,"East Palestine, OH",USA,N,9,NYR,New York,Rangers,7,6
,4703,O'Reilly,Ryan,90,LW,,200,1991-02-07,25,"Clinton, ON",Canada,N,15,BUF,Buffalo,Sabres,5,6
,4603,Pacioretty,Max,67,LW,"6'2""",217,1988-11-20,27,"New Canaan, CT",USA,N,14,MTL,Montreal,Canadiens,7,6
,5292,Pearson,Tanner,70,LW,"6'0""",193,1992-08-10,24,"Kitchener, ON",Canada,N,28,LAK,Los Angeles,Kings,4,6
,3626,Perry,Corey,10,RW,"6'3""",212,1985-05-16,31,"Peterborough, ON",Canada,N,29,ANA,Anaheim,Ducks,8,6
,4828,Pirri,Brandon,73,C,"6'3""",183,,,"Toronto, ON",Canada,N,9,NYR,New York,Rangers,7,6
,5253,Ristolainen,Rasmus,55,D,"6'4""",207,1994-10-27,22,Turku,Finland,N,15,BUF,Buffalo,Sabres,5,6
,4875,Seguin,Tyler,91,C,"6'1""",182,1992-01-31,24,"Brampton, ON",Canada,N,27,DAL,Dallas,Stars,6,6
,5850,Shore,Devin,17,C,"6'1""",205,1994-07-19,22,"Ajax, ON",Canada,N,27,DAL,Dallas,Stars,6,6
,4514,Simmonds,Wayne,17,RW,"6'2""",183,1988-08-26,28,"Scarborough, ON",Canada,N,6,PHI,Philadelphia,Flyers,7,6
,4876,Skinner,Jeff,53,LW,"5'11""",200,1992-05-16,24,"Toronto, ON",Canada,N,3,CAR,Carolina,Hurricanes,5,6
,3720,Stempniak,Lee,21,RW,"5'11""",196,,,"West Seneca, NY",USA,N,3,CAR,Carolina,Hurricanes,6,6
,4680,Tavares,John,91,C,"6'1""",205,1990-09-20,26,"Mississauga, ON",Canada,N,8,NYI,New York,Islanders,7,6
,5158,Vatanen,Sami,45,D,"5'10""",183,1991-06-03,25,Jyvaskyla,Finland,N,29,ANA,Anaheim,Ducks,8,6
,5630,Aho,Sebastian,20,RW,"5'11""",176,1997-07-26,19,Rauma,Finland,Y,3,CAR,Carolina,Hurricanes,6,5
,4527,Bailey,Joshua,12,LW,"6'1""",190,1989-10-02,27,"Bowmanville, ON",Canada,N,8,NYI,New York,Islanders,7,5
,5241,Barkov,Aleksander,16,C,"6'3""",213,1995-09-02,21,Tampere,Finland,N,4,FLO,Florida,Panthers,6,5
,5623,Beauvillier,Anthony,72,LW,"5'10""",176,1997-06-08,19,"Sorel-Tracy, QC",Canada,Y,8,NYI,New York,Islanders,6,5
,5415,Bennett,Sam,93,C,"6'1""",178,1996-06-20,20,"Holland Landing, ON",Canada,N,23,CGY,Calgary,Flames,8,5
,277,Brown,Dustin,23,LW,"6'0""",207,1984-11-04,31,"Ithaca, NY",USA,N,28,LAK,Los Angeles,Kings,6,5
,4943,Byron,Paul,41,C,"5'7""",153,1989-04-27,27,"Ottawa, ON",Canada,N,14,MTL,Montreal,Canadiens,7,5
,568,Campbell,Brian,51,D,"5'10""",190,1979-05-23,37,"Strathroy, ON",Canada,N,20,CHI,Chicago,Blackhawks,7,5
,4715,Couture,Logan,39,C,"6'1""",200,1989-03-28,27,"Guelph, ON",Canada,N,26,SJS,San Jose,Sharks,7,5
,5124,Coyle,Charlie,3,RW,"6'3""",221,1992-03-02,24,"E. Weymouth, MA",USA,N,25,MIN,Minnesota,Wild,7,5
,5230,Drouin,Jonathan,27,LW,"5'11""",186,1995-03-28,21,"Ste-Agathe, QC",Canada,N,1,TBL,Tampa Bay,Lightning,6,5
,4663,Duchene,Matt,9,C,"5'11""",200,1991-01-16,25,"Haliburton, ON",Canada,N,22,COL,Colorado,Avalanche,5,5
,5009,Faulk,Justin,27,D,"6'0""",215,1992-03-20,24,"South St. Paul, MN",USA,N,3,CAR,Carolina,Hurricanes,6,5
,3813,Filppula,Valtteri,51,C,"6'0""",195,1984-03-20,32,Vantaa,Finland,N,1,TBL,Tampa Bay,Lightning,6,5
,4278,Foligno,Nick,71,LW,"6'0""",210,1987-10-31,28,"Buffalo, NY",USA,N,19,CBJ,Columbus,Blue Jackets,5,5
,5210,Forsberg,Filip,9,C,"5'11""",186,1994-08-13,22,Ostervala,Sweden,N,18,NSH,Nashville,Predators,6,5
,5127,Galchenyuk,Alex,27,C,"6'1""",196,1994-02-12,22,"Milwaukee, WI",USA,N,14,MTL,Montreal,Canadiens,7,5
,5383,Gaudreau,Johnny,13,LW,"5'8""",155,1993-08-13,23,"Carney's Point, NJ",USA,N,23,CGY,Calgary,Flames,8,5
,3861,Giordano,Mark,5,D,"6'0""",200,1983-10-03,33,"Toronto, ON",Canada,N,23,CGY,Calgary,Flames,8,5
,5600,Hanifin,Noah,5,D,"6'3""",205,1997-01-25,19,"Boston, MA",USA,N,3,CAR,Carolina,Hurricanes,6,5
,4523,Hornqvist,Patric,72,RW,"5'11""",189,1987-01-01,29,Sollentuna,Sweden,N,10,PIT,Pittsburgh,Penguins,7,5
,4033,Kopitar,Anze,11,C,"6'3""",224,1987-08-24,29,Jesenice,Slovenia,N,28,LAK,Los Angeles,Kings,6,5
,4299,Lucic,Milan,27,LW,"6'4""",220,1988-06-07,28,"Vancouver, BC",Canada,N,24,EDM,Edmonton,Oilers,7,5
,5231,MacKinnon,Nathan,29,C,"6'0""",182,1995-09-01,21,"Halifax, NS",Canada,N,22,COL,Colorado,Avalanche,5,5
,5087,Manning,Brandon,23,D,"6'1""",195,,,"Prince George, BC",Canada,N,6,PHI,Philadelphia,Flyers,7,5
,4512,Martinez,Alec,27,D,"6'1""",206,1987-07-26,29,"Rochester Hills, MI",USA,N,28,LAK,Los Angeles,Kings,6,5
,5495,Martinook,Jordan,48,LW,"6'0""",202,1992-07-25,24,"Brandon, MB",Canada,N,30,ARI,Arizona,Coyotes,6,5
,319,Nash,Rick,61,LW,"6'4""",213,1984-06-16,32,"Brampton, ON",Canada,N,9,NYR,New York,Rangers,7,5
,5226,Nelson,Brock,29,C,"6'3""",196,1991-10-15,25,"Warroad, MN",USA,N,8,NYI,New York,Islanders,7,5
,3495,Ovechkin,Alex,8,LW,"6'3""",230,1985-09-17,31,Moscow,Russia,N,5,WSH,Washington,Capitals,6,5
