#Date/Time of Update: 2016-10-29 10:24:13 AM,#Conference Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#Wins,#Losses,#OvertimeWins,#OvertimeLosses,#Points,#FaceoffWins,#FaceoffLosses,#FaceoffPercent,#Powerplays,#PowerplayGoals,#PowerplayPercent,#PenaltyKills,#PenaltyKillGoalsAllowed,#PenaltyKillPercent,#ShorthandedGoalsFor,#ShorthandedGoalsAgainst,#GoalsFor,#GoalsAgainst,#Shots,#Penalties,#PenaltyMinutes,#Hits
,Eastern,14,MTL,Montreal,Canadiens,1,8,7,0,0,1,15,241,265,47.6,30,6,20.0,30,3,90.0,1,1,29,12,240,36,87,182
,Eastern,16,DET,Detroit,Red Wings,2,8,6,2,0,0,12,235,236,49.9,30,6,20.0,33,6,81.8,1,1,25,18,224,140,303,134
,Eastern,10,PIT,Pittsburgh,Penguins,3,8,5,2,0,1,11,267,269,49.8,31,8,25.8,36,7,80.6,0,0,19,23,254,38,79,220
,Eastern,1,TBL,Tampa Bay,Lightning,4,7,5,2,0,0,10,219,230,48.8,28,7,25.0,19,3,84.2,0,1,24,20,215,30,72,146
,Eastern,9,NYR,New York,Rangers,5,8,5,3,0,0,10,235,231,50.4,27,7,25.9,20,4,80.0,0,0,29,21,249,23,46,167
,Eastern,7,NJD,New Jersey,Devils,6,7,3,2,0,2,8,207,217,48.8,25,6,24.0,25,4,84.0,0,0,15,15,214,31,67,144
,Eastern,13,OTT,Ottawa,Senators,7,7,4,3,0,0,8,217,228,48.8,19,3,15.8,24,6,75.0,2,0,22,25,231,34,77,150
,Eastern,5,WSH,Washington,Capitals,8,6,3,2,0,1,7,178,171,51.0,18,2,11.1,18,5,72.2,0,0,14,13,201,22,50,110
,Eastern,19,CBJ,Columbus,Blue Jackets,9,7,3,3,0,1,7,194,219,47.0,18,6,33.3,23,3,87.0,0,0,18,17,196,26,60,162
,Eastern,12,TOR,Toronto,Maple Leafs,10,7,2,2,0,3,7,230,216,51.6,21,5,23.8,25,5,80.0,0,0,24,27,240,30,71,150
,Eastern,4,FLO,Florida,Panthers,11,8,3,4,0,1,7,244,242,50.2,29,4,13.8,19,4,78.9,1,0,20,20,255,27,59,148
,Eastern,6,PHI,Philadelphia,Flyers,12,8,3,4,0,1,7,228,243,48.4,35,9,25.7,29,7,75.9,0,2,27,30,241,36,91,199
,Eastern,15,BUF,Buffalo,Sabres,13,7,2,3,0,2,6,248,204,54.9,31,8,25.8,23,4,82.6,0,0,17,19,191,28,56,135
,Eastern,3,CAR,Carolina,Hurricanes,14,7,2,3,0,2,6,215,167,56.3,25,7,28.0,24,3,87.5,0,1,21,26,196,25,54,128
,Eastern,11,BOS,Boston,Bruins,15,7,3,4,0,0,6,217,221,49.5,24,2,8.3,30,5,83.3,0,1,17,23,200,38,85,161
,Eastern,8,NYI,New York,Islanders,16,8,3,5,0,0,6,237,246,49.1,23,3,13.0,28,4,85.7,1,0,22,24,232,35,78,210
,Western,24,EDM,Edmonton,Oilers,1,8,7,1,0,0,14,237,257,48.0,23,4,17.4,27,3,88.9,2,2,29,17,229,35,76,186
,Western,25,MIN,Minnesota,Wild,2,8,5,2,0,1,11,242,242,50.0,28,3,10.7,23,1,95.7,0,0,28,19,218,33,88,130
,Western,17,STL,St. Louis,Blues,3,8,4,2,0,2,10,235,232,50.3,30,7,23.3,28,2,92.9,0,1,21,20,238,34,68,146
,Western,26,SJS,San Jose,Sharks,4,8,5,3,0,0,10,205,271,43.1,28,6,21.4,25,4,84.0,0,0,19,20,256,31,83,125
,Western,20,CHI,Chicago,Blackhawks,5,8,4,3,0,1,9,242,264,47.8,31,7,22.6,30,15,50.0,0,0,27,26,229,32,72,130
,Western,21,VAN,Vancouver,Canucks,6,8,4,3,0,1,9,235,246,48.9,25,3,12.0,19,3,84.2,1,1,14,18,200,22,50,136
,Western,23,CGY,Calgary,Flames,7,9,4,4,0,1,9,302,282,51.7,34,4,11.8,40,11,72.5,2,1,29,31,268,50,103,167
,Western,28,LAK,Los Angeles,Kings,8,7,4,3,0,0,8,235,223,51.3,20,4,20.0,23,6,73.9,1,1,19,22,222,30,69,210
,Western,47,WPJ,Winnipeg,Jets,9,8,4,4,0,0,8,222,275,44.7,34,5,14.7,32,7,78.1,1,1,21,23,230,36,75,154
,Western,29,ANA,Anaheim,Ducks,10,9,3,4,0,2,8,315,216,59.3,30,6,20.0,42,7,83.3,3,1,21,23,265,48,105,240
,Western,27,DAL,Dallas,Stars,11,7,3,3,0,1,7,233,219,51.5,31,5,16.1,28,7,75.0,0,1,18,22,202,36,86,118
,Western,22,COL,Colorado,Avalanche,12,6,3,3,0,0,6,183,177,50.8,21,5,23.8,26,7,73.1,0,0,16,17,163,32,81,164
,Western,18,NSH,Nashville,Predators,13,7,2,4,0,1,5,218,222,49.5,27,10,37.0,24,8,66.7,1,2,18,24,209,33,78,153
,Western,30,ARI,Arizona,Coyotes,14,7,2,5,0,0,4,217,202,51.8,24,3,12.5,27,7,74.1,3,2,22,30,209,37,85,179
